6,100.00
12,99.999
17,99.997
19,99.996
21,99.995
25,99.994
26,99.993
35,99.990
55,99.98
85,99.97
111,99.96
138,99.95
164,99.94
199,99.93
237,99.92
259,99.91
280,99.90
314,99.89
343,99.88
372,99.87
413,99.86
447,99.85
474,99.84
507,99.83
549,99.82
584,99.81
618,99.80
644,99.79
688,99.78
723,99.77
755,99.76
793,99.75
826,99.74
868,99.73
907,99.72
944,99.71
984,99.70
1009,99.69
1052,99.68
1100,99.67
1138,99.66
1169,99.65
1208,99.64
1246,99.63
1286,99.62
1327,99.61
1360,99.60
1393,99.59
1421,99.58
1467,99.57
1522,99.56
1553,99.55
1585,99.54
1604,99.53
1644,99.52
1698,99.51
1728,99.50
1766,99.49
1816,99.48
1852,99.47
1896,99.46
1939,99.45
1978,99.44
2020,99.43
2048,99.42
2093,99.41
2130,99.40
2174,99.39
2211,99.38
2248,99.37
2285,99.36
2352,99.35
2400,99.34
2436,99.33
2486,99.32
2518,99.31
2557,99.30
2608,99.29
2657,99.28
2699,99.27
2743,99.26
2781,99.25
2826,99.24
2878,99.23
2934,99.22
2984,99.21
3027,99.20
3074,99.19
3123,99.18
3159,99.17
3196,99.16
3245,99.15
3294,99.14
3332,99.13
3385,99.12
3433,99.11
3473,99.10
3512,99.09
3555,99.08
3597,99.07
3649,99.06
3692,99.05
3743,99.04
3767,99.03
3815,99.02
3867,99.01
3939,99.00
4178,98.94
4610,98.84
5069,98.75
5545,98.65
6004,98.55
6448,98.44
6946,98.35
7443,98.24
7935,98.14
8426,98.04
8891,97.94
9378,97.85
9860,97.74
10327,97.65
10867,97.54
11376,97.44
11823,97.34
12341,97.24
12828,97.14
13327,97.04
13828,96.95
14303,96.86
14791,96.75
15298,96.64
15801,96.55
16305,96.44
16808,96.33
17356,96.23
17845,96.12
18323,96.04
18870,95.93
19353,95.85
19853,95.73
20379,95.64
20874,95.55
21392,95.46
21914,95.36
22445,95.25
22979,95.15
23499,95.04
26311,94.51
31496,93.50
36667,92.53
41959,91.50
47401,90.49
52737,89.48
58059,88.47
63380,87.51
68728,86.48
74127,85.46
79425,84.49
84765,83.57
90437,82.52
96353,81.41
102038,80.40
107583,79.56
113286,78.49
119094,77.46
124770,76.46
130601,75.52
136242,74.57
141839,73.67
148155,72.57
154454,71.46
160503,70.54
166587,69.55
172684,68.55
178909,67.47
185131,66.46
191345,65.51
197635,64.44
203533,63.56
210016,62.44
216742,61.45
223240,60.28
229732,59.39
235346,58.56
241638,57.51
248509,56.43
255047,55.54
261324,54.46
267322,53.40
273545,52.46
279992,51.46
285904,50.58
292048,49.45
299295,48.51
305292,47.49
311448,46.56
318472,45.41
324348,44.43
329944,43.55
336868,42.44
343261,41.37
348822,40.35
355339,39.50
362000,38.18
367891,37.60
374147,36.43
379668,35.36
385093,34.70
391945,33.40
397932,32.55
403472,31.59
409348,30.60
415267,29.55
421326,28.46
427236,27.27
432626,26.69
438726,25.58
444568,24.30
450205,23.70
455783,22.47
461381,21.55
467958,20.36
473470,19.57
478457,18.45
483730,17.53
489432,16.47
495075,15.54
500229,14.50
506246,13.44
511680,12.50
516489,11.43
522077,10.43
527173,9.49
532435,8.62
537915,7.45
543112,6.40
548572,5.52
554122,4.51
559313,3.44
564599,2.49
570038,1.55
575820,0.48
