7,99.98
8,99.97
15,99.95
17,99.94
21,99.93
26,99.92
29,99.91
37,99.89
41,99.86
47,99.84
50,99.83
54,99.82
59,99.81
70,99.77
74,99.76
79,99.75
81,99.74
83,99.73
89,99.72
91,99.71
100,99.70
104,99.69
107,99.68
112,99.67
118,99.66
123,99.64
132,99.62
137,99.61
142,99.60
146,99.59
150,99.57
158,99.55
162,99.54
165,99.53
167,99.52
176,99.51
178,99.50
187,99.49
202,99.45
205,99.44
208,99.43
217,99.42
220,99.41
223,99.40
230,99.39
240,99.36
243,99.35
246,99.33
257,99.31
259,99.30
261,99.29
269,99.28
277,99.24
286,99.23
290,99.22
296,99.20
298,99.19
307,99.18
310,99.17
316,99.16
320,99.15
326,99.14
331,99.13
336,99.12
340,99.11
345,99.10
352,99.08
357,99.06
361,99.05
365,99.04
372,99.03
374,99.02
387,99.00
406,98.94
459,98.84
500,98.75
542,98.66
581,98.55
621,98.48
677,98.34
732,98.24
782,98.16
834,98.06
886,97.97
944,97.85
1006,97.73
1061,97.66
1135,97.54
1194,97.44
1266,97.34
1322,97.25
1403,97.13
1453,97.04
1510,96.95
1557,96.86
1618,96.75
1691,96.65
1754,96.55
1813,96.45
1877,96.34
1952,96.23
2025,96.12
2091,96.03
2155,95.93
2217,95.84
2275,95.75
2341,95.65
2410,95.56
2487,95.46
2564,95.37
2635,95.26
2714,95.15
2785,95.05
3196,94.48
3944,93.54
4726,92.53
5572,91.47
6445,90.48
7327,89.49
8247,88.47
9228,87.50
10244,86.49
11324,85.44
12340,84.52
13386,83.57
14485,82.48
15712,81.41
16901,80.43
18075,79.49
19290,78.49
20470,77.47
21650,76.46
22930,75.52
24188,74.55
25454,73.71
26862,72.57
28290,71.46
29669,70.56
31073,69.54
32492,68.55
33929,67.47
35400,66.43
36854,65.62
38317,64.44
39648,63.56
41157,62.44
42754,61.45
44309,60.28
45860,59.39
47247,58.56
48816,57.51
50519,56.43
52129,55.54
53717,54.46
55263,53.40
56903,52.46
58572,51.46
60070,50.58
61629,49.45
63426,48.43
64940,47.49
66516,46.56
68320,45.41
69850,44.43
71331,43.55
73179,42.44
74874,41.37
76300,40.35
78017,39.50
79805,38.18
81364,37.59
82978,36.43
84434,35.36
85902,34.70
87761,33.40
89384,32.55
90889,31.59
92521,30.60
94110,29.55
95737,28.46
97375,27.27
98804,26.69
100430,25.58
102018,24.30
103526,23.70
104978,22.47
106480,21.55
108274,20.41
109782,19.68
111079,18.51
112451,17.53
114023,16.47
115592,15.54
116994,14.50
118648,13.55
120211,12.50
121539,11.39
123121,10.43
124558,9.49
126005,8.46
127544,7.46
128957,6.40
130414,5.52
131933,4.51
133458,3.42
134994,2.53
136670,1.48
138542,0.48
