1,99.48
2,99.43
6,99.01
9,98.38
12,97.80
18,97.21
21,96.97
25,96.19
28,96.01
29,95.69
42,94.26
50,93.45
57,92.73
75,91.78
79,90.73
85,89.66
94,88.83
100,87.81
116,86.77
131,85.51
146,84.66
156,83.91
163,82.89
186,81.68
201,80.47
220,79.61
232,78.61
239,77.93
258,76.98
286,75.77
310,74.59
331,72.67
349,71.53
366,70.81
386,69.56
405,68.88
425,67.83
449,66.50
469,65.70
483,64.75
506,63.61
527,62.67
544,61.84
572,60.71
594,59.82
633,58.28
645,57.80
675,56.41
682,55.80
719,54.61
736,53.43
761,52.97
778,51.94
804,50.83
825,49.83
862,48.58
894,47.55
920,46.56
951,45.41
976,44.55
992,43.73
1019,42.45
1044,41.37
1062,40.27
1087,39.42
1108,38.62
1145,36.43
1168,35.40
1187,34.70
1205,33.33
1216,32.92
1246,31.68
1271,30.57
1287,29.61
1310,28.91
1349,27.13
1361,26.90
1388,25.58
1419,24.20
1432,23.76
1460,22.43
1479,21.61
1515,20.04
1536,19.26
1546,18.86
1576,17.53
1598,16.55
1617,15.90
1631,14.70
1645,13.88
1675,12.69
1696,11.63
1723,10.55
1746,9.62
1764,8.78
1795,7.42
1823,6.31
1853,5.14
1863,4.79
1894,3.31
1905,2.93
1933,1.61
1953,0.46
