10,98.12
14,96.55
17,95.73
18,95.59
20,95.30
21,95.24
22,94.98
27,93.23
29,92.59
32,91.15
35,89.92
48,87.51
54,86.77
71,81.39
82,79.78
93,78.00
95,77.77
101,76.38
104,75.79
113,74.57
123,73.40
126,72.66
132,71.87
154,69.56
157,68.74
164,67.60
174,66.03
177,65.32
184,64.41
192,62.96
209,59.41
216,57.99
229,56.86
244,53.40
250,52.37
256,51.64
261,50.16
270,48.89
281,47.42
292,45.50
293,44.78
314,41.17
320,40.00
324,39.30
327,38.99
330,37.97
335,36.61
342,35.36
350,34.69
357,33.22
370,30.74
381,29.55
384,28.44
389,27.13
397,26.77
403,25.58
418,23.76
429,21.55
451,19.15
454,18.28
465,15.90
475,13.21
495,9.07
499,8.46
518,4.13
535,0.28
